,x,y,z
0,0.0,0.0,26.5
1,0.0,0.0,178.0
2,0.3117591318707517,2.64988757900763,359.9804409876576
3,0.18449047869607663,6.863610444017451,542.9318781022832
4,-4.342342133117827,3.6370356580131618,723.8464905625677
5,-11.219566989574552,-0.5526070848257372,904.6672600332265
6,-15.752542864163471,-2.032460832291571,1026.5740365577763
7,-17.90231322437635,-3.434413214350834,1155.548503088624
8,-19.204828323411938,-4.074483194977531,1218.5317847182494
9,-19.68967069949889,-4.8741079227996735,1312.527133157228
10,-18.82560957086642,-6.4801863963053234,1407.5096258087842
11,-17.839979256928466,-9.866129835036276,1501.4434531550282
12,-15.769141160691703,-14.766104215740885,1596.2943987520416
13,-12.408124545478021,-22.71887239090519,1689.8970538728465
14,-9.690014889416434,-32.50016853289328,1783.347244486244
15,-8.796104912583601,-43.960657258586124,1877.6491963383748
16,-13.558603942758081,-54.825385869881806,1970.897661608268
17,-20.737287903727093,-60.973916788905086,2065.4262925310013
18,-26.842941236936007,-64.65562908808207,2159.155508850785
19,-31.600072319039924,-67.48470063742494,2253.994140526049
20,-34.01419236363231,-69.96459548041706,2347.9304069303403
21,-36.11971295102634,-72.56841160226213,2442.8713724018357
22,-38.02624900412979,-75.09571606875214,2536.818047981187
23,-39.513296666677896,-78.26158827139568,2631.753636368503
24,-39.71834255290635,-78.8537254611352,2650.7433001289037
25,-40.575365402885716,-82.80425859543584,2767.6734450864355
26,-41.97348474514061,-87.17723886963645,2862.56244500648
27,-45.56736862911729,-89.84726592942782,2956.455761883287
28,-52.155690597591175,-89.70580906840664,3050.2244880322337
29,-58.27326593668674,-86.92302560218471,3143.9839216277423
30,-61.132082647579026,-83.52325718081318,3238.8800160768533
31,-61.7520995990714,-80.7876130919883,3332.8381547897884
32,-62.15424258522859,-78.16571823378072,3427.801115718622
33,-62.657748395225376,-75.72365052497196,3521.768039618497
34,-63.0629100447591,-73.40456881002686,3616.7388651600136
35,-63.36643903877382,-73.47553736883087,3710.738348316111
36,-63.72836048068796,-74.47861507379781,3804.7322994405727
37,-64.12299850114674,-75.22647979471736,3899.728535993354
38,-64.40888243013399,-76.09959439853831,3993.724046212022
39,-64.64992718641015,-77.037043118313,4087.7190625018407
40,-64.88311896698649,-77.81529869956358,4182.715588437496
41,-65.15816446390323,-78.31934910849994,4276.713834608156
42,-65.36226376497272,-78.90842019713844,4370.711767238229
43,-65.67234423165053,-79.37921811740644,4465.710094588885
44,-66.18364833137845,-79.93428418499823,4559.707065123995
45,-66.8084867323713,-80.55218176674086,4654.703000718899
46,-67.41473983364276,-81.30674777043713,4748.698017008717
47,-68.21800898790885,-82.21212794851012,4843.690306408431
48,-69.07683938572542,-82.92413042857946,4937.6836862966775
49,-69.74983610555539,-83.61982295537095,5031.678702586496
50,-70.60459624003641,-84.50002072372513,5126.67077929293
51,-71.37287551054409,-85.44001269605118,5220.662939402455
52,-72.59705839215869,-86.14139261018542,5314.652350734203
53,-74.10390698068336,-86.79003238763995,5408.638034078904
54,-75.62753726834538,-87.39820750728398,5502.623717423605
55,-77.43590614136181,-88.14467132611956,5597.603571044182
56,-79.30472661343809,-88.58231103844734,5691.583973158268
57,-80.98556012552804,-89.09555191877305,5786.567715885661
58,-82.61065774956624,-89.49952941358485,5881.55295610695
59,-84.41076421409863,-89.77434137562803,5975.535316659884
60,-86.13831342665675,-90.23594438571315,6069.518307122942
61,-88.863758207561,-92.29344575171547,6164.456911699137
62,-95.03078766687133,-99.96368347022793,6257.94025353601
63,-102.52435292650792,-109.32722511502861,6351.172064456777
64,-110.62528485818255,-120.53468800609382,6445.160189650249
65,-122.5343584747461,-137.5110575667473,6576.53361482496
66,-132.4754376551004,-151.26432409838324,6670.0056566580115
67,-142.102377203229,-164.5195340789347,6763.582477737316
68,-151.49363440915926,-177.49304707891378,6856.20802631076
69,-161.15952602042697,-190.84104730674593,6949.767640617773
70,-170.8673243549007,-203.82245210543772,7042.3594425278225
71,-180.3037925174532,-216.711030317239,7136.006853705577
72,-189.63058970948208,-229.31087358727893,7228.690481190204
73,-198.99750974045423,-242.49141050466952,7322.304231546135
74,-208.4820332373461,-255.27631200572387,7414.946501097595
75,-218.14133260244,-268.50795938869663,7508.5233221768995
76,-227.80815916713448,-281.43928135268806,7601.126418110198
77,-237.50641196468618,-294.54093487066234,7694.717499778109
78,-246.9528927129624,-307.51430875100607,7787.3374521190235
79,-255.92778620196637,-319.62548898423967,7881.133883822043
80,-265.0350776530646,-332.105549818857,7973.855538919377
81,-275.0168715282034,-344.47170561189773,8067.516854209824
82,-284.8178058415829,-357.98632001065863,8160.022512870457
83,-294.65135481582655,-371.69638294393746,8253.512274282799
84,-305.0906151020381,-385.92332057655574,8345.841121834766
85,-314.78305194918875,-399.17120700532166,8439.412218724428
86,-324.32554695325365,-411.9734461987308,8532.046140484937
87,-333.67406741839875,-424.92595733817205,8625.693551662693
88,-335.81941037731866,-437.73229031763316,8718.792398804899
89,-331.6946455211502,-447.5591181038734,8812.186294593334
90,-324.6668257760106,-453.1914775596209,8906.758416683255
91,-315.19614120191983,-454.11508004474393,9000.275543949589
92,-300.3405271522117,-455.0184834487398,9093.089845614233
93,-278.14117176341136,-456.39181090671593,9185.449482859161
94,-249.82651000360949,-458.0194658108607,9276.117176493339
95,-217.8646973727641,-459.7952171263746,9364.498674786908
96,-185.3176662397638,-461.37564447481805,9453.735399367228
97,-152.78280208420173,-462.3810420112911,9541.919705171451
98,-111.15608371297432,-464.38779873375324,9627.29059743046
99,-78.29494211004575,-463.8830481407229,9678.680193647895
100,-37.07632167040609,-462.4436621975824,9735.239485520757
101,26.770426755662825,-460.8163794458824,9804.210092784027
102,103.17172981269202,-454.62901226552447,9860.331010261947
103,162.2621546715817,-453.845161215555,9887.399576303158
104,188.0144687049363,-454.80295797411105,9895.45568872149
105,252.5286674330577,-458.0823951420653,9913.23667447397
106,345.88656788573525,-458.70157726404244,9924.187429542357
107,439.28298287493703,-448.32451423965284,9921.858002541429
108,533.880890788296,-439.5988868316935,9921.542971188828
